content_id,source_type,source_url,status,error
2,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/Form-2-English.pdf,error,'category' is an invalid keyword argument for ContentChunk
3,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/Form-4-English.pdf,error,'category' is an invalid keyword argument for ContentChunk
5,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/Form_1_Eng.pdf,error,'category' is an invalid keyword argument for ContentChunk
6,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/Form_3_Eng.pdf,error,'category' is an invalid keyword argument for ContentChunk
7,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/Form_5_Eng.pdf,error,'category' is an invalid keyword argument for ContentChunk
9,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/Form_8_Eng.pdf,error,'category' is an invalid keyword argument for ContentChunk
11,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/aadhaar-02-01-2022-aadhaar-list-of-documents-pdf-60.pdf,error,'category' is an invalid keyword argument for ContentChunk
12,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/aadhaar-aadhaar-enrolment-correction-form-version-2-1-pdf-43.pdf,error,'category' is an invalid keyword argument for ContentChunk
13,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/aadhaar-enrolment-update-form-adult-update-v3-pdf-34.pdf,error,'category' is an invalid keyword argument for ContentChunk
14,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/aadhaar-form-1-eng-pdf-38.pdf,error,'category' is an invalid keyword argument for ContentChunk
15,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/aadhaar-form-2-english-pdf-35.pdf,error,'category' is an invalid keyword argument for ContentChunk
16,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/aadhaar-form-3-eng-pdf-39.pdf,error,'category' is an invalid keyword argument for ContentChunk
