content_id,uuid,source_type,source_url,source_name,title,content,content_type,language,is_processed,processing_status,processing_errors,metadata,file_path,file_size_bytes,created_at,updated_at
10,53c29126-9015-4000-9692-0e7f72c1533e,api,"",Passport Application/Renewal (MEA),get_application_availability,get_application_availability:https://apisetu.gov.in/passport/appointment/availability,json,en,t,completed,"(psycopg2.errors.NotNullViolation) null value in column ""service_id"" of relation ""documents"" violates not-null constraint
DETAIL:  Failing row contains (157, cc719689-670c-42e5-a3c9-30ef77cd093e, null, null, get_application_availability, Passport Application/Renewal (MEA), json, f, 1, null, en, t, get_application_availability:https://apisetu.gov.in/passport/app..., null, 2025-10-13 00:39:01.251763+05:30).

[SQL: INSERT INTO documents (uuid, service_id, procedure_id, name, description, document_type, is_mandatory, copies_required, validity_period, language, is_processed, raw_content, embedding) VALUES (%(uuid)s::UUID, %(service_id)s, %(procedure_id)s, %(name)s, %(description)s, %(document_type)s, %(is_mandatory)s, %(copies_required)s, %(validity_period)s, %(language)s, %(is_processed)s, %(raw_content)s, %(embedding)s) RETURNING documents.doc_id, documents.created_at]
[parameters: {'uuid': UUID('cc719689-670c-42e5-a3c9-30ef77cd093e'), 'service_id': None, 'procedure_id': None, 'name': 'get_application_availability', 'description': 'Passport Application/Renewal (MEA)', 'document_type': 'json', 'is_mandatory': False, 'copies_required': 1, 'validity_period': None, 'language': 'en', 'is_processed': True, 'raw_content': 'get_application_availability:https://apisetu.gov.in/passport/appointment/availability', 'embedding': None}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)","{""service"": ""Passport Application/Renewal (MEA)"", ""endpoint"": ""https://apisetu.gov.in/passport/appointment/availability"", ""api_service"": ""get_application_availability""}",,,2025-10-10 19:04:10.289915+05:30,2025-10-13 00:40:45.865102+05:30
20,68312c4c-becf-4825-8849-378de9580c57,api,"",PAN Card (CBDT),pan_aadhaar_linking_status,pan_aadhaar_linking_status:https://incometax.gov.in/api/pan/link,json,en,t,completed,"(psycopg2.errors.NotNullViolation) null value in column ""service_id"" of relation ""documents"" violates not-null constraint
DETAIL:  Failing row contains (165, 40c7ab98-2831-45c4-8847-8773490712ef, null, null, pan_aadhaar_linking_status, PAN Card (CBDT), json, f, 1, null, et, t, pan_aadhaar_linking_status:https://incometax.gov.in/api/pan/link, null, 2025-10-13 00:39:01.345847+05:30).

[SQL: INSERT INTO documents (uuid, service_id, procedure_id, name, description, document_type, is_mandatory, copies_required, validity_period, language, is_processed, raw_content, embedding) VALUES (%(uuid)s::UUID, %(service_id)s, %(procedure_id)s, %(name)s, %(description)s, %(document_type)s, %(is_mandatory)s, %(copies_required)s, %(validity_period)s, %(language)s, %(is_processed)s, %(raw_content)s, %(embedding)s) RETURNING documents.doc_id, documents.created_at]
[parameters: {'uuid': UUID('40c7ab98-2831-45c4-8847-8773490712ef'), 'service_id': None, 'procedure_id': None, 'name': 'pan_aadhaar_linking_status', 'description': 'PAN Card (CBDT)', 'document_type': 'json', 'is_mandatory': False, 'copies_required': 1, 'validity_period': None, 'language': 'et', 'is_processed': True, 'raw_content': 'pan_aadhaar_linking_status:https://incometax.gov.in/api/pan/link', 'embedding': None}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)","{""service"": ""PAN Card (CBDT)"", ""endpoint"": ""https://incometax.gov.in/api/pan/link"", ""api_service"": ""pan_aadhaar_linking_status""}",,,2025-10-10 19:04:10.318786+05:30,2025-10-13 00:40:45.894922+05:30
34,16ffd3d8-96f1-43bf-a63c-92f5f5cb27f9,api,"",Driving Licence Services (Parivahan/Sarathi),verify_license,verify_license:https://api.napix.gov.in/transport/license/verify,json,en,t,completed,"(psycopg2.errors.NotNullViolation) null value in column ""service_id"" of relation ""documents"" violates not-null constraint
DETAIL:  Failing row contains (176, 300521c7-6b4a-480f-a087-8c0e59c19f5a, null, null, verify_license, Driving Licence Services (Parivahan/Sarathi), json, f, 1, null, da, t, verify_license:https://api.napix.gov.in/transport/license/verify, null, 2025-10-13 00:39:01.463861+05:30).

[SQL: INSERT INTO documents (uuid, service_id, procedure_id, name, description, document_type, is_mandatory, copies_required, validity_period, language, is_processed, raw_content, embedding) VALUES (%(uuid)s::UUID, %(service_id)s, %(procedure_id)s, %(name)s, %(description)s, %(document_type)s, %(is_mandatory)s, %(copies_required)s, %(validity_period)s, %(language)s, %(is_processed)s, %(raw_content)s, %(embedding)s) RETURNING documents.doc_id, documents.created_at]
[parameters: {'uuid': UUID('300521c7-6b4a-480f-a087-8c0e59c19f5a'), 'service_id': None, 'procedure_id': None, 'name': 'verify_license', 'description': 'Driving Licence Services (Parivahan/Sarathi)', 'document_type': 'json', 'is_mandatory': False, 'copies_required': 1, 'validity_period': None, 'language': 'da', 'is_processed': True, 'raw_content': 'verify_license:https://api.napix.gov.in/transport/license/verify', 'embedding': None}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)","{""service"": ""Driving Licence Services (Parivahan/Sarathi)"", ""endpoint"": ""https://api.napix.gov.in/transport/license/verify"", ""api_service"": ""verify_license""}",,,2025-10-10 19:04:10.683518+05:30,2025-10-13 00:40:45.911446+05:30
41,f5ecf7c7-cc7d-450c-bb15-f21fc10647d6,api,"",Voter ID (ECI),search_electoral_roll,search_electoral_roll:https://api.napix.gov.in/election/roll,json,en,t,completed,"(psycopg2.errors.NotNullViolation) null value in column ""service_id"" of relation ""documents"" violates not-null constraint
DETAIL:  Failing row contains (183, f102c6f5-47ac-4061-8eea-a653367f0b17, null, null, search_electoral_roll, Voter ID (ECI), json, f, 1, null, en, t, search_electoral_roll:https://api.napix.gov.in/election/roll, null, 2025-10-13 00:39:01.57276+05:30).

[SQL: INSERT INTO documents (uuid, service_id, procedure_id, name, description, document_type, is_mandatory, copies_required, validity_period, language, is_processed, raw_content, embedding) VALUES (%(uuid)s::UUID, %(service_id)s, %(procedure_id)s, %(name)s, %(description)s, %(document_type)s, %(is_mandatory)s, %(copies_required)s, %(validity_period)s, %(language)s, %(is_processed)s, %(raw_content)s, %(embedding)s) RETURNING documents.doc_id, documents.created_at]
[parameters: {'uuid': UUID('f102c6f5-47ac-4061-8eea-a653367f0b17'), 'service_id': None, 'procedure_id': None, 'name': 'search_electoral_roll', 'description': 'Voter ID (ECI)', 'document_type': 'json', 'is_mandatory': False, 'copies_required': 1, 'validity_period': None, 'language': 'en', 'is_processed': True, 'raw_content': 'search_electoral_roll:https://api.napix.gov.in/election/roll', 'embedding': None}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)","{""service"": ""Voter ID (ECI)"", ""endpoint"": ""https://api.napix.gov.in/election/roll"", ""api_service"": ""search_electoral_roll""}",,,2025-10-10 19:04:10.692395+05:30,2025-10-13 00:40:45.943073+05:30
5,6e195d1f-a9b9-4ed7-832a-ce314daba4bb,api,"",Passport Application/Renewal (MEA),calculate_fees,calculate_fees:https://apisetu.gov.in/passport/fees/calculate,json,en,t,completed,"(psycopg2.errors.NotNullViolation) null value in column ""service_id"" of relation ""documents"" violates not-null constraint
DETAIL:  Failing row contains (153, a7cebad8-5544-40ce-9969-38b69cba5e04, null, null, calculate_fees, Passport Application/Renewal (MEA), json, f, 1, null, ro, t, calculate_fees:https://apisetu.gov.in/passport/fees/calculate, null, 2025-10-13 00:39:01.192215+05:30).

[SQL: INSERT INTO documents (uuid, service_id, procedure_id, name, description, document_type, is_mandatory, copies_required, validity_period, language, is_processed, raw_content, embedding) VALUES (%(uuid)s::UUID, %(service_id)s, %(procedure_id)s, %(name)s, %(description)s, %(document_type)s, %(is_mandatory)s, %(copies_required)s, %(validity_period)s, %(language)s, %(is_processed)s, %(raw_content)s, %(embedding)s) RETURNING documents.doc_id, documents.created_at]
[parameters: {'uuid': UUID('a7cebad8-5544-40ce-9969-38b69cba5e04'), 'service_id': None, 'procedure_id': None, 'name': 'calculate_fees', 'description': 'Passport Application/Renewal (MEA)', 'document_type': 'json', 'is_mandatory': False, 'copies_required': 1, 'validity_period': None, 'language': 'ro', 'is_processed': True, 'raw_content': 'calculate_fees:https://apisetu.gov.in/passport/fees/calculate', 'embedding': None}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)","{""service"": ""Passport Application/Renewal (MEA)"", ""endpoint"": ""https://apisetu.gov.in/passport/fees/calculate"", ""api_service"": ""calculate_fees""}",,,2025-10-10 19:04:10.274638+05:30,2025-10-13 00:40:45.225114+05:30
50,0cd077f4-2766-49de-b32e-777f911439a8,scraping,https://www.passportindia.gov.in/psp/FaqCamp,Scraped: https://www.passportindia.gov.in/psp/FaqCamp,Cache: 0849154dcff8727fc40fbc1b55569516.json,"{""url"": ""https://www.passportindia.gov.in/psp/FaqCamp"", ""etag"": null, ""last_modified"": ""Tue, 30 Sep 2025 09:39:10 GMT"", ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:13.039652""}",json,en,t,completed,,"{""url"": ""https://www.passportindia.gov.in/psp/FaqCamp"", ""etag"": null, ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:13.039652"", ""last_modified"": ""Tue, 30 Sep 2025 09:39:10 GMT""}",,,2025-10-10 23:52:39.342516+05:30,
51,7a8c4ea9-815f-457d-86db-2512d8cccf73,scraping,https://www.passportindia.gov.in/psp/FaqFeePayment,Scraped: https://www.passportindia.gov.in/psp/FaqFeePayment,Cache: 2ff7f0450a1684f24ee82b7263fc511b.json,"{""url"": ""https://www.passportindia.gov.in/psp/FaqFeePayment"", ""etag"": null, ""last_modified"": ""Tue, 30 Sep 2025 09:39:10 GMT"", ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:11.758081""}",json,en,t,completed,,"{""url"": ""https://www.passportindia.gov.in/psp/FaqFeePayment"", ""etag"": null, ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:11.758081"", ""last_modified"": ""Tue, 30 Sep 2025 09:39:10 GMT""}",,,2025-10-10 23:52:39.342516+05:30,
52,256e9563-f7f4-4f6a-aada-2515fd60792f,scraping,https://www.passportindia.gov.in/psp/FaqResetPassword,Scraped: https://www.passportindia.gov.in/psp/FaqResetPassword,Cache: 308d8599e97987c57482542f1db8f03b.json,"{""url"": ""https://www.passportindia.gov.in/psp/FaqResetPassword"", ""etag"": null, ""last_modified"": ""Tue, 30 Sep 2025 09:39:10 GMT"", ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:11.859626""}",json,en,t,completed,,"{""url"": ""https://www.passportindia.gov.in/psp/FaqResetPassword"", ""etag"": null, ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:11.859626"", ""last_modified"": ""Tue, 30 Sep 2025 09:39:10 GMT""}",,,2025-10-10 23:52:39.342516+05:30,
53,9824a081-9e13-4a16-aa77-9d9148ce0360,scraping,https://www.passportindia.gov.in/psp/FaqLostDamagedPassports,Scraped: https://www.passportindia.gov.in/psp/FaqLostDamagedPassports,Cache: 42f3974f427b4ea5d84b26250e841a5e.json,"{""url"": ""https://www.passportindia.gov.in/psp/FaqLostDamagedPassports"", ""etag"": null, ""last_modified"": ""Tue, 30 Sep 2025 09:39:10 GMT"", ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:12.322293""}",json,en,t,completed,,"{""url"": ""https://www.passportindia.gov.in/psp/FaqLostDamagedPassports"", ""etag"": null, ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:12.322293"", ""last_modified"": ""Tue, 30 Sep 2025 09:39:10 GMT""}",,,2025-10-10 23:52:39.342516+05:30,
54,16945c0a-9046-408f-8363-637afca3eb19,scraping,https://www.passportindia.gov.in/psp/FaqServicesAvailable#ServiceAvail,Scraped: https://www.passportindia.gov.in/psp/FaqServicesAvailable#ServiceAvail,Cache: 56f9ac05458ffcb282c904492902f0fb.json,"{""url"": ""https://www.passportindia.gov.in/psp/FaqServicesAvailable#ServiceAvail"", ""etag"": null, ""last_modified"": ""Tue, 30 Sep 2025 09:39:12 GMT"", ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:11.387328""}",json,en,t,completed,,"{""url"": ""https://www.passportindia.gov.in/psp/FaqServicesAvailable#ServiceAvail"", ""etag"": null, ""content_hash"": ""e506f9e8aeed42ede53fab12cedc4f38"", ""last_checked"": ""2025-10-10T19:04:11.387328"", ""last_modified"": ""Tue, 30 Sep 2025 09:39:12 GMT""}",,,2025-10-10 23:52:39.342516+05:30,
